Prognosis,Symptoms
Subconjunctival hemorrhage,"bleeding from ear, bleeding or discharge from nipple, diminished hearing, excessive urination at night, eye moves abnormally, eyelid retracted, eyelid swelling, foot or toe weakness, hand or finger weakness, pain during pregnancy, swollen abdomen, symptoms of bladder"
Hemorrhoids,"blood clots during menstrual periods, change in skin mole size or color, congestion in chest, headache, itching of skin, lower abdominal pain, mass on vulva, mass or swelling around the anus, pain in testicles, recent weight loss, seizures, vaginal itching"
Contact dermatitis,"abdominal distention, ache all over, acne or pimples, depressive or psychotic symptoms, itching of scrotum, sinus congestion, skin growth, skin irritation, skin lesion, skin pain, skin rash, swollen abdomen"
Sinus bradycardia,"changes in stool appearance, decreased appetite, disturbance of smell or taste, facial pain, fainting, feeling hot and cold, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, warts"
Pelvic inflammatory disease,"back mass or lump, bumps on penis, insomnia, low urine output, nasal congestion, painful sinuses, paresthesia, seizures, shoulder weakness, stuttering or stammering, vaginal bleeding after menopause, vaginal redness"
Liver disease,"blood clots during menstrual periods, diaper rash, headache, itchy scalp, nasal congestion, penis redness, seizures, sharp chest pain, shoulder weakness, unpredictable menstruation, unwanted hair, warts"
Chronic constipation,"blood clots during menstrual periods, bumps on penis, change in skin mole size or color, congestion in chest, low urine output, nasal congestion, pain in testicles, recent weight loss, restlessness, seizures, stiffness all over, vaginal redness"
Flu,"abusing alcohol, chest tightness, constipation, coryza, diaper rash, feet turned in, flatulence, hand or finger weakness, nailbiting, nasal congestion, sore in nose, vaginal redness"
Friedrich ataxia,"arm lump or mass, arm swelling, back pain, coryza, dry or flaky scalp, fever, itchy ear(s), knee cramps or spasms, penis redness, shoulder stiffness or tightness, vulvar irritation, weight gain"
Tic (movement) disorder,"abnormal breathing sounds, abnormal involuntary movements, coughing up sputum, depression, emotional symptoms, groin mass, hand or finger weakness, problems during pregnancy, scanty menstrual flow, spotting or bleeding during pregnancy, symptoms of bladder, symptoms of the scrotum and testes"
Skin polyp,"abdominal distention, ache all over, burning chest pain, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore"
Brachial neuritis,"arm lump or mass, arm swelling, back mass or lump, elbow lump or mass, hand or finger lump or mass, hand or finger swelling, hand or finger weakness, long menstrual periods, low back cramps or spasms, neck mass, palpitations, shoulder lump or mass"
Cervical cancer,"difficulty breathing, heartburn, insomnia, itchy scalp, mass on eyelid, pain or soreness of breast, paresthesia, swelling of scrotum, underweight, vaginal bleeding after menopause, vaginal dryness, vomiting blood"
Adrenal adenoma,"abusing alcohol, antisocial behavior, back mass or lump, back swelling, congestion in chest, early or late onset of menopause, low back swelling, muscle stiffness or tightness, pus draining from ear, seizures, sharp abdominal pain, sharp chest pain"
Esophagitis,"bumps on penis, changes in stool appearance, coryza, difficulty eating, headache, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, sore in nose, unwanted hair, vaginal redness"
Gas gangrene,"allergic reaction, emotional symptoms, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, seizures, shortness of breath, wrist lump or mass"
Yeast infection,"depressive or psychotic symptoms, frequent menstruation, itching of scrotum, painful sinuses, paresthesia, premenstrual tension or irritability, seizures, skin pain, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Spina bifida,"back mass or lump, discharge in stools, double vision, eye deviation, feeling ill, hand or finger weakness, intermenstrual bleeding, jaw swelling, leg swelling, polyuria, rib pain, skin irritation"
Drug poisoning due to medication,"absence of menstruation, acne or pimples, decreased heart rate, delusions or hallucinations, depression, drainage in throat, facial pain, fluid in ear, lip sore, skin swelling, sleepwalking, spotting or bleeding during pregnancy"
Malignant hypertension,"depression, disturbance of smell or taste, flushing, hand or finger weakness, infrequent menstruation, long menstrual periods, lower abdominal pain, penis redness, scanty menstrual flow, sharp abdominal pain, sharp chest pain, vaginal redness"
Diverticulitis,"blood clots during menstrual periods, bumps on penis, chest tightness, congestion in chest, diaper rash, feet turned in, low urine output, nasal congestion, seizures, shoulder weakness, unwanted hair, vaginal redness"
Moyamoya disease,"bleeding or discharge from nipple, depression, early or late onset of menopause, elbow swelling, excessive appetite, hand or finger weakness, hip pain, itchy ear(s), long menstrual periods, muscle weakness, scanty menstrual flow, wrist swelling"
Heat exhaustion,"disturbance of smell or taste, facial pain, feeling cold, fluid in ear, hand or finger weakness, lacrimation, nasal congestion, sharp abdominal pain, sharp chest pain, suprapubic pain, vaginal redness, warts"
Psychotic disorder,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, hurts to breath, infrequent menstruation, symptoms of the scrotum and testes"
Frostbite,"abusing alcohol, back mass or lump, early or late onset of menopause, elbow swelling, facial pain, feeling hot, foot or toe lump or mass, hand or finger stiffness or tightness, long menstrual periods, low back swelling, muscle weakness, sharp abdominal pain"
Atrophy of the corpus cavernosum,"abdominal distention, breathing fast, cloudy eye, feet turned in, frequent menstruation, groin mass, hysterical behavior, pelvic pressure, penile discharge, penis pain, skin dryness, peeling, scaliness, or roughness, symptoms of the scrotum and testes"
Smoking or tobacco addiction,"absence of menstruation, coryza, cough, drainage in throat, emotional symptoms, hand or finger weakness, heavy menstrual flow, hot flashes, sharp abdominal pain, sharp chest pain, side pain, slurring words"
Sprain or strain,"allergic reaction, arm lump or mass, back mass or lump, foot or toe lump or mass, hand or finger lump or mass, hand or finger weakness, knee lump or mass, leg lump or mass, low back cramps or spasms, neck mass, shoulder lump or mass, wrist lump or mass"
Essential tremor,"abnormal breathing sounds, arm pain, discharge in stools, disturbance of smell or taste, fatigue, hand or finger weakness, hip weakness, long menstrual periods, muscle cramps, contractures, or spasms, painful menstruation, problems during pregnancy, scanty menstrual flow"
Idiopathic painful menstruation,"abnormal size or shape of ear, blindness, coughing up sputum, heartburn, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, underweight, vaginal bleeding after menopause, vaginal dryness"
Down syndrome,"anxiety and nervousness, coryza, cross-eyed, difficulty eating, difficulty in swallowing, feet turned in, flu-like syndrome, increased heart rate, knee weakness, nailbiting, scanty menstrual flow, symptoms of the scrotum and testes"
Idiopathic infrequent menstruation,"abnormal size or shape of ear, frequent menstruation, infant spitting up, infertility, nasal congestion, pain of the anus, pain or soreness of breast, restlessness, ringing in ear, seizures, underweight, vaginal bleeding after menopause"
Pneumothorax,"back mass or lump, coryza, cough, diarrhea, double vision, drainage in throat, hot flashes, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass, shoulder weakness"
Fracture of the vertebra,"arm swelling, back mass or lump, blood in urine, hand or finger pain, hip lump or mass, hip swelling, leg pain, low back cramps or spasms, muscle pain, neck mass, paresthesia, problems during pregnancy"
Mumps,"dry or flaky scalp, eye redness, feet turned in, flatulence, fluid in ear, hip pain, jaw pain, muscle weakness, neck stiffness or tightness, shoulder stiffness or tightness, sore in nose, swollen eye"
Subarachnoid hemorrhage,"bladder mass, discharge in stools, disturbance of smell or taste, facial pain, hand or finger weakness, long menstrual periods, neck mass, nose deformity, scanty menstrual flow, symptoms of bladder, vaginal redness, warts"
Acute fatty liver of pregnancy (AFLP),"cramps and spasms, early or late onset of menopause, elbow swelling, elbow weakness, eye redness, hip pain, itching of scrotum, itchy ear(s), muscle weakness, pain during intercourse, seizures, wrist swelling"
Ectropion,"abnormal involuntary movements, diminished hearing, eye moves abnormally, eye strain, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder, wheezing"
Scar,"abdominal distention, ache all over, itching of scrotum, lip sore, lump in throat, mass in scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin on leg or foot looks infected, skin rash"
Lactose intolerance,"bumps on penis, congestion in chest, coughing up sputum, diaper rash, fever, hand or finger weakness, hysterical behavior, muscle cramps, contractures, or spasms, nailbiting, seizures, sharp chest pain, weakness"
Eustachian tube dysfunction (ear disorder),"abnormal appearing tongue, acne or pimples, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, nailbiting, peripheral edema, rectal bleeding, rib pain, sore in nose, swollen lymph nodes"
Appendicitis,"bumps on penis, chest tightness, cross-eyed, diaper rash, feet turned in, low urine output, nasal congestion, seizures, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Graves disease,"abnormal breathing sounds, disturbance of smell or taste, fainting, foot or toe stiffness or tightness, heavy menstrual flow, intermenstrual bleeding, irregular belly button, lacrimation, mouth ulcer, pallor, suprapubic pain, weakness"
Dissociative disorder,"antisocial behavior, back swelling, decreased heart rate, delusions or hallucinations, depression, discharge in stools, early or late onset of menopause, emotional symptoms, low back swelling, low back weakness, muscle stiffness or tightness, pus in sputum"
Dislocation of the vertebra,"arm lump or mass, back mass or lump, blood in urine, elbow swelling, excessive appetite, feeling hot, hand or finger lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, neck mass, wrist swelling"
Hyperemesis gravidarum,"bumps on penis, diaper rash, disturbance of smell or taste, hand or finger weakness, nasal congestion, pain during intercourse, premenstrual tension or irritability, seizures, unwanted hair, vaginal redness, vomiting, warts"
Thalassemia,"arm lump or mass, cloudy eye, constipation, diminished hearing, elbow swelling, fainting, infrequent menstruation, knee stiffness or tightness, low back swelling, muscle stiffness or tightness, pain in gums, redness in or around nose"
Epidural hemorrhage,"back mass or lump, depression, difficulty speaking, disturbance of smell or taste, elbow swelling, elbow weakness, excessive appetite, feeling hot, leg lump or mass, low back swelling, shoulder weakness, wrist swelling"
Septic arthritis,"abdominal distention, elbow lump or mass, elbow stiffness or tightness, feeling hot and cold, feet turned in, hand or finger lump or mass, hip lump or mass, knee lump or mass, knee stiffness or tightness, leg lump or mass, problems during pregnancy, skin oiliness"
Athlete's foot,"abdominal distention, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, irregular appearing nails, itching of scrotum, sinus congestion, skin growth, skin irritation, skin on head or neck looks infected, skin pain, skin rash"
Pleural effusion,"back mass or lump, coryza, diarrhea, double vision, feet turned in, hot flashes, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts"
Vulvar disorder,"lump in throat, obsessions and compulsions, painful sinuses, paresthesia, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, vaginal bleeding after menopause, vaginal dryness, vaginal itching, vomiting blood, vulvar irritation"
Vitamin B deficiency,"abnormal breathing sounds, acne or pimples, coryza, difficulty in swallowing, disturbance of smell or taste, elbow lump or mass, hand or finger weakness, hip lump or mass, knee lump or mass, mouth ulcer, nasal congestion, vaginal redness"
Sialoadenitis,"coryza, difficulty eating, dry or flaky scalp, eyelid swelling, jaw pain, nailbiting, neck cramps or spasms, neck mass, neck stiffness or tightness, penis redness, sore in nose, swollen eye"
Urinary tract infection,"back mass or lump, blood in stool, feet turned in, frequent menstruation, low urine output, nasal congestion, painful sinuses, restlessness, seizures, shoulder weakness, stuttering or stammering, vaginal redness"
Histoplasmosis,"abusing alcohol, coryza, cross-eyed, diminished hearing, dizziness, early or late onset of menopause, elbow swelling, excessive appetite, eye moves abnormally, feeling hot, lack of growth, low back swelling"
Erythema multiforme,"acne or pimples, constipation, difficulty eating, feet turned in, fluid in ear, itching of scrotum, mouth pain, pain during pregnancy, skin irritation, skin on leg or foot looks infected, skin pain, vaginal redness"
Scoliosis,"back mass or lump, foot or toe pain, knee pain, knee stiffness or tightness, leg lump or mass, leg swelling, low back cramps or spasms, lower abdominal pain, mouth ulcer, problems during pregnancy, stiffness all over, unpredictable menstruation"
Bunion,"foot or toe cramps or spasms, foot or toe lump or mass, foot or toe stiffness or tightness, knee lump or mass, leg stiffness or tightness, pain of the anus, problems during pregnancy, skin dryness, peeling, scaliness, or roughness, skin growth, skin lesion, skin on head or neck looks infected, spotting or bleeding during pregnancy"
Arrhythmia,"changes in stool appearance, diarrhea, disturbance of smell or taste, facial pain, fainting, incontinence of stool, irregular belly button, lacrimation, pallor, sharp abdominal pain, sharp chest pain, warts"
Paget disease,"abdominal distention, abnormal appearing tongue, abusing alcohol, anxiety and nervousness, back mass or lump, decreased heart rate, early or late onset of menopause, frequent menstruation, low back cramps or spasms, muscle weakness, rib pain, skin swelling"
Trigeminal neuralgia,"abnormal breathing sounds, abusing alcohol, disturbance of smell or taste, eyelid swelling, hand or finger weakness, long menstrual periods, pain during pregnancy, palpitations, swollen abdomen, symptoms of prostate, tongue lesions, too little hair"
Ankylosing spondylitis,"abusing alcohol, back mass or lump, elbow lump or mass, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, palpitations, retention of urine, spotting or bleeding during pregnancy"
Peripheral nerve disorder,"abnormal breathing sounds, arm lump or mass, arm swelling, back mass or lump, discharge in stools, disturbance of smell or taste, foot or toe lump or mass, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy"
Sebaceous cyst,"abdominal distention, ache all over, arm cramps or spasms, back cramps or spasms, hand or finger cramps or spasms, irregular appearing nails, lump in throat, neck cramps or spasms, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin rash"
Poisoning due to antipsychotics,"antisocial behavior, changes in stool appearance, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, disturbance of smell or taste, facial pain, infrequent menstruation, sharp abdominal pain, skin swelling, tongue bleeding"
Behcet disease,"antisocial behavior, bleeding or discharge from nipple, coryza, delusions or hallucinations, diaper rash, diminished hearing, mouth pain, neck mass, seizures, sharp chest pain, unwanted hair, vaginal redness"
Neurosis,"antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, hand or finger weakness, hoarse voice, infrequent menstruation, nosebleed, slurring words, symptoms of the scrotum and testes"
Cerebral edema,"arm lump or mass, difficulty in swallowing, diminished hearing, disturbance of smell or taste, flushing, hand or finger weakness, long menstrual periods, muscle pain, nasal congestion, neck mass, problems during pregnancy, vaginal redness"
Birth trauma,"arm pain, depression, difficulty in swallowing, early or late onset of menopause, elbow weakness, itchiness of eye, knee weakness, low back swelling, muscle stiffness or tightness, nailbiting, pus draining from ear, scanty menstrual flow"
Chronic pancreatitis,"absence of menstruation, abusing alcohol, back mass or lump, bumps on penis, diaper rash, leg swelling, nasal congestion, redness in or around nose, seizures, skin dryness, peeling, scaliness, or roughness, unwanted hair, vaginal redness"
Carcinoid syndrome,"excessive appetite, eye redness, intermenstrual bleeding, itchy ear(s), joint pain, knee cramps or spasms, loss of sensation, muscle weakness, nausea, shoulder stiffness or tightness, vulvar irritation, wrist swelling"
Seborrheic keratosis,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, skin rash, vulvar sore"
Spontaneous abortion,"blindness, bumps on penis, coughing up sputum, heartburn, insomnia, low urine output, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, upper abdominal pain"
Genital herpes,"groin mass, itching of scrotum, painful sinuses, paresthesia, pus in urine, skin irritation, skin on leg or foot looks infected, skin pain, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Adjustment reaction,"antisocial behavior, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, neck weakness, regurgitation, symptoms of the scrotum and testes"
Gallstone,"back mass or lump, bumps on penis, headache, lower abdominal pain, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, shoulder weakness, suprapubic pain, unwanted hair, vaginal redness"
Multiple sclerosis,"abnormal breathing sounds, discharge in stools, disturbance of smell or taste, fainting, flushing, hand or finger weakness, leg pain, leg swelling, long menstrual periods, palpitations, problems during pregnancy, warts"
Zenker diverticulum,"congestion in chest, difficulty eating, elbow swelling, feeling hot, low back cramps or spasms, low back swelling, muscle weakness, redness in or around nose, seizures, sharp abdominal pain, sore in nose, wrist swelling"
Fracture of the pelvis,"abusing alcohol, back mass or lump, blood in urine, decreased heart rate, difficulty in swallowing, flushing, groin mass, hip lump or mass, knee lump or mass, leg lump or mass, problems during pregnancy, shoulder weakness"
Pneumoconiosis,"changes in stool appearance, coryza, cough, diarrhea, disturbance of smell or taste, feet turned in, infrequent menstruation, nailbiting, sharp chest pain, sore in nose, vaginal redness, weight gain"
Ulcerative colitis,"blood clots during menstrual periods, bumps on penis, cross-eyed, diaper rash, diminished vision, low urine output, mass or swelling around the anus, nasal congestion, recent weight loss, seizures, swollen eye, vaginal redness"
Male genitalia infection,"abdominal distention, breathing fast, groin mass, irregular heartbeat, lymphedema, pain in gums, penile discharge, penis pain, skin dryness, peeling, scaliness, or roughness, sweating, swelling of scrotum, vulvar sore"
HPV,"cough, eye strain, frequent menstruation, hand or finger cramps or spasms, intermenstrual bleeding, jaw swelling, lump in throat, mass on vulva, underweight, vaginal bleeding after menopause, vaginal dryness, vulvar sore"
Angina,"arm lump or mass, burning abdominal pain, changes in stool appearance, disturbance of smell or taste, hostile behavior, incontinence of stool, irregular belly button, lower abdominal pain, pallor, sharp abdominal pain, sharp chest pain, suprapubic pain"
Injury to the spinal cord,"arm lump or mass, arm swelling, back mass or lump, double vision, foot or toe swelling, hand or finger weakness, nausea, neck mass, restlessness, shoulder lump or mass, shoulder weakness, throat feels tight"
Nasal polyp,"acne or pimples, coryza, diarrhea, disturbance of memory, eyelid swelling, frequent urination, hand or finger weakness, hip weakness, nailbiting, nose deformity, painful menstruation, rectal bleeding"
Lichen simplex,"ache all over, difficulty in swallowing, itching of scrotum, itchy eyelid, loss of sensation, obsessions and compulsions, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin pain, vaginal dryness"
Trichiasis,"back swelling, diminished hearing, early or late onset of menopause, elbow weakness, eye moves abnormally, eye strain, foot or toe weakness, irritable infant, pain during pregnancy, pus draining from ear, swollen abdomen, symptoms of bladder"
Acariasis,"bones are painful, cramps and spasms, elbow swelling, elbow weakness, excessive appetite, feeling hot, itching of scrotum, skin irritation, skin pain, sweating, vaginal redness, wrist swelling"
Skin pigmentation disorder,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash, tongue pain, vulvar sore"
Factitious disorder,"delusions or hallucinations, depression, discharge in stools, early or late onset of menopause, elbow swelling, excessive appetite, itchy ear(s), lip sore, long menstrual periods, muscle weakness, palpitations, wrist swelling"
Lymphogranuloma venereum,"chest tightness, dry or flaky scalp, excessive appetite, feet turned in, knee cramps or spasms, loss of sensation, nausea, nose deformity, pelvic pain, shoulder stiffness or tightness, sore in nose, vulvar irritation"
Galactorrhea of unknown cause,"antisocial behavior, back mass or lump, bleeding in mouth, bumps on penis, coryza, elbow weakness, low back swelling, lump in throat, pain of the anus, paresthesia, sharp abdominal pain, weakness"
G6PD enzyme deficiency,"coryza, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, feeling hot, low back swelling, muscle stiffness or tightness, muscle weakness, nailbiting, toothache, wrist swelling"
Nerve impingement near the shoulder,"arm lump or mass, blood in urine, elbow lump or mass, hand or finger pain, knee lump or mass, muscle cramps, contractures, or spasms, neck mass, problems during pregnancy, shoulder lump or mass, shoulder pain, shoulder swelling, vomiting blood"
Toxoplasmosis,"bleeding or discharge from nipple, bones are painful, cramps and spasms, diminished hearing, elbow swelling, elbow weakness, excessive appetite, eye moves abnormally, feeling hot, irregular appearing nails, itchy eyelid, wrist swelling"
Missed abortion,"blindness, blood clots during menstrual periods, coughing up sputum, heartburn, infant spitting up, insomnia, low urine output, pain during intercourse, premenstrual tension or irritability, pus in urine, seizures, spots or clouds in vision"
Diabetic ketoacidosis,"cross-eyed, depression, diaper rash, fluid in ear, frequent menstruation, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, vaginal redness, warts"
Granuloma inguinale,"excessive appetite, groin mass, knee cramps or spasms, loss of sensation, muscle weakness, nasal congestion, nausea, sharp abdominal pain, shoulder stiffness or tightness, vaginal itching, vulvar irritation, wrist swelling"
Hemorrhagic fever,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Obsessive compulsive disorder (OCD),"antisocial behavior, delusions or hallucinations, depression, emotional symptoms, fatigue, feeling hot and cold, hoarse voice, hurts to breath, knee weakness, low back weakness, nosebleed, symptoms of the scrotum and testes"
Hyponatremia,"back mass or lump, disturbance of smell or taste, facial pain, feet turned in, hand or finger weakness, nasal congestion, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Stricture of the esophagus,"cough, difficulty breathing, difficulty eating, headache, lower body pain, nasal congestion, problems during pregnancy, recent pregnancy, redness in or around nose, sharp abdominal pain, stiffness all over, vaginal redness"
Soft tissue sarcoma,"abdominal distention, blood in urine, burning chest pain, frontal headache, involuntary urination, itching of scrotum, leg cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, vulvar sore"
Bone disorder,"back mass or lump, blood in urine, difficulty in swallowing, hostile behavior, knee lump or mass, lacrimation, leg cramps or spasms, leg lump or mass, leg swelling, muscle pain, shoulder lump or mass, spotting or bleeding during pregnancy"
Personality disorder,"antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, nosebleed, symptoms of the scrotum and testes"
Shingles (herpes zoster),"abdominal distention, abusing alcohol, back mass or lump, eyelid swelling, hand or finger weakness, itching of scrotum, pain during pregnancy, seizures, sharp abdominal pain, shoulder weakness, skin irritation, skin pain"
Tourette syndrome,"abnormal breathing sounds, abnormal involuntary movements, acne or pimples, decreased heart rate, depression, drainage in throat, emotional symptoms, hand or finger weakness, nosebleed, skin swelling, symptoms of the scrotum and testes, vulvar sore"
Strep throat,"abusing alcohol, chest tightness, coryza, cross-eyed, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, skin pain, sore in nose, vaginal redness"
Spinocerebellar ataxia,"abnormal breathing sounds, antisocial behavior, blood in stool, coryza, difficulty in swallowing, discharge in stools, disturbance of smell or taste, facial pain, foot or toe lump or mass, hand or finger weakness, problems during pregnancy, skin pain"
Osteomyelitis,"arm stiffness or tightness, blood in urine, difficulty in swallowing, foot or toe stiffness or tightness, hand or finger lump or mass, hand or finger stiffness or tightness, involuntary urination, knee stiffness or tightness, lump over jaw, skin irritation, skin oiliness, skin on head or neck looks infected"
Sjogren syndrome,"abusing alcohol, difficulty eating, diminished hearing, groin mass, irritable infant, jaw swelling, melena, pain during pregnancy, penis redness, redness in or around nose, sore throat, symptoms of bladder"
Tonsillar hypertrophy,"abnormal appearing tongue, acne or pimples, anxiety and nervousness, coryza, difficulty eating, double vision, feet turned in, hot flashes, nailbiting, rectal bleeding, sore in nose, swollen lymph nodes"
Gastritis,"bumps on penis, diaper rash, feet turned in, hand or finger weakness, headache, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, unwanted hair, vaginal redness, vomiting"
Skin cancer,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, lip sore, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore"
Rheumatic fever,"back weakness, excessive appetite, eye redness, irritable infant, joint pain, knee cramps or spasms, loss of sensation, muscle weakness, nausea, pelvic pain, shoulder stiffness or tightness, vulvar irritation"
Aphthous ulcer,"abusing alcohol, coryza, feet turned in, hand or finger weakness, leg weakness, mouth dryness, mouth pain, skin pain, sore in nose, swollen or red tonsils, tongue bleeding, too little hair"
Tonsillitis,"abnormal appearing tongue, acne or pimples, anxiety and nervousness, difficulty speaking, double vision, lower body pain, nailbiting, rectal bleeding, sore in nose, swollen lymph nodes, thirst, throat irritation"
Intestinal cancer,"change in skin mole size or color, cross-eyed, diaper rash, foot or toe stiffness or tightness, itchy scalp, lump in throat, mouth dryness, neck cramps or spasms, pain in gums, redness in or around nose, seizures, thirst"
Rocky Mountain spotted fever,"allergic reaction, emotional symptoms, eyelid swelling, fainting, hand or finger weakness, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
